message	domain
I want a cab from laxmi township 3, vishranth wadi to reliance mart in kharadi.	travel
Best restaurants near me	food
Blue canvas high ankle shoes	shopping
Gym	shopping
I phone 7	shopping
I want to buy this phone	shopping
Look for a tatkal ticket in nilagiri exp for Tomo night	travel
Muje 8000 ki reng me 1gb ya 2gb rem vala phone btaye jiska camera a6a ho vo	shopping
Best deal on phone pouches	shopping
Want to know electrical repairing shop nearby madiwala	support
Xperia m2 cover	shopping
Link for return ticket?	travel
Printed shirts	shopping
I don't want any water reminder now	reminders
Wht time is the train and Wht time it will reach Bombay ?	travel
Lenovo	shopping
Remind me today 11am solve kishor pethe ATM issue	reminders
Birthday	reminders
I wana see the show timings of movie bar bar dekho for saturday 10 september	movies
I want to stop these reminders	reminders
Videocon mobile service center for Videocon A23f battery	support
I need cheap fare flight from Bangalore to Doha in this week	travel
Please wake me up in 10 mins	reminders
How far is banglor from goa	travel
Cost	shopping
DSLR camera	shopping
Tell me about all trains from bhilai nagar to durg for today	travel
Hy I hung out at pizza Hut at last	food
i want to travel from hyderabad to changoor in kerala	travel
Hey, could you please let me know if there is a private bus service from kota Rajasthan to Indore which operates in morning/ after noon	travel
I need samsung ac remote	shopping
i want to purchase documents holder	shopping
Ohh then who will book the tickets?	movies
I want narrow pajamas	shopping
Hey i want to go to thathotthu junction	travel
Add cafe bites in cafe list	food
Movie ticket price?	movies
Hi can u tell me about nearest optical shop	nearby
Blue,....	shopping
Pasta salad and french fries	food
Petrol Station	nearby
Only siwan to kolkata	travel
Give me distance between pondicherry and chennai	travel
Kindly stop water reminder	reminders
Can u get me more colours in dz	shopping
No, the package must include kasauni and ranikhet apart from corbett and nainital.	travel
Deactivate all reminders	reminders
th	travel
9th	travel
I want train  tickets  from pune to bhopal 21st  oct	travel
Please find a best badminton racket in the price range below 1500	shopping
Can I set the alarm for different number??	reminders
Pls find me john cena tshirt	shopping
Nearest honda showroom	nearby
Sl	travel
Memory card 32 gb	shopping
Pnb atm	nearby
IPhone 7 and 7s price in India.  Also difference between them	shopping
Train timing of rajdhani from ndls to Jammu	travel
I want a call you	reminders
ATM NEAR BY MY LOCTION	nearby
Need some sneakers below 2500 in brand puma fila for size 10	shopping
What is the fare for one month train pass from dadar to umbargam road 2nd class .	travel
Distance from delhi to leh	travel
The reminder u send is only through sms right??	reminders
Set daily reminder for 8:30 am and pm to drink tonic syrup for the next 6 months	reminders
Need a spicy biriyani place	food
Redcheif shoes shop near andheri?	shopping
Is seats available in this flight.?	travel
17sept	reminders
Can i book corner seats?	travel
Can you please find standard chartered bank near my location.	nearby
Solo veg	food
A guest house , 2double  rooms for 4 days in Mahanagar or Nishatganj area.Budget 1000-1500	travel
Flights deal	travel
I wanted jeggings	shopping
Cheapest flight to dubai from any indian airport	travel
Hi, I want to buy a yoga block	shopping
What about catching bus 53B?	travel
Library near me	nearby
I want to buy one boyish smart watch	shopping
What is train timing	travel
Hi I want John Cena wwe t shirt	shopping
At what time will I reach Chandigarh	travel
Do you have ola cabs coupons ?	travel
Price of air ticket one way from Chandigarh to Kolkata	travel
Any operator offering unlimited 3G plans?	recharge
Can u suggest me best led which support mirror screen with wifi	shopping
Plz remove this reminder	reminders
Help me with private buses plz	travel
Make a reminder to call hemant at 4oclock	reminders
Which movie is running in kondotti	movies
Plz don't call me at 8:30 in evng	reminders
Train no 12135	travel
Whats the cost of socks	shopping
Hy i want cheapest rental cab for local delhi travel	travel
Double decker train	travel
Cancel my alram	reminders
Lyf phone? Whats the starting price	shopping
no pizza...	food
Dth rechrage os dish tv	recharge
Any uber discount coupons ?	travel
Wat is the arrival time of above train in kanpur ?	travel
Where will i get home delivery for tea	food
Philips trimmer	shopping
Hey i want to go gandhinagar from Ahmedabad	travel
I wnt reminder daily at intervl of 30 min ...24*7	reminders
Punjab national bank ATM	nearby
Please switch off the reminder.	reminders
Hotel	travel
Dominos offers ..!!	food
Hello sakshi, can you pl  find the best 2G/3G recharge on docomo or airtel with ~1GB data pack. Thanks	recharge
Pls remind me every saturday and sunday. For the same	reminders
I want know the service centre of canon printer near at basaveshwar nagar,bangalore	support
At today 12.00pm reminder  me to study and solve one question  paper	reminders
I need a black shiny shirt to wear under a  suit	shopping
Plz book me 2 tickets for 3.25pm	movies
Y didn't u call me to wake me up	reminders
show me an example of reminder. lets say remind me to open haptik	reminders
Whatever reminders are been set. Please add those to my to do list.	reminders
Plz update on real time basis the status , departure and arrival of jet flight no 2791	travel
I'd like to order from Zafran	food
Trains from Ranchi to Hyderabad.	travel
Can you find me a hotel in patiala	travel
Looking for stylish back cover for Apple 5S .. Give me options	shopping
Want to know fair from ahmedabad to kathmandu or delhi to kathmandu return	travel
Which movie is playing in Kural theatre at vellore?	movies
Is food delivery available on my location?	food
Restaurant near me	food
Hi,  we are planning to visit Ayush resort near Panvel tomorrow.  4 of us.  Can you please help us plan?  It us supposed to be a one day picnic	travel
Please set reminder for 5th Sept @ 9PM to book tatkal ticket for next morning	reminders
Will you tell me that Bsnl 249 rs broadband is started or not..	recharge
27 pls remind me to have doc app with chyro on 28	reminders
Show me the train schedule for evening Nagpur to Bhopal	travel
Which is the nearest UCO bank branch	nearby
Set me a reminder for lunch with Natasha at sharp 1.00 pm tomorrow	reminders
Red heart with white small hearts on it	shopping
I wanna book a cab	travel
Plz track my order	shopping
Dont set the call for 21 september	reminders
I am looking for a decorative item for car deshboard	shopping
Hi I want to know which latest movie in pvr juhu	movies
Pls deactivate this reminder	reminders
Where to travel around konark	travel
Can you find bus options for me on 28 September from delhi isbt to roorkee	travel
Moga to ganganagar trains	travel
Hey plz call me countious two time for remainder	reminders
Gionee service centre around me	support
Please remind me for my sons polio drops day on 25th September at 10 am	reminders
Which company	shopping
18509 on15.10.2016 on sleeper class reservation	travel
Hi , I plan to travel Delhi and Agra and nearby places from Oct 2nd for 4d/5n .can you help me in planning. I stay in Hyd. Have two kids and would like to have a relaxed trip with Taj and Delhi sight seeing as mandatory. Would like to travel by flight	travel
menu of persian darbar bandra	food
i want so some order	food
What is the distance between new Delhi and meerut	travel
Nearby restaurant Please	food
Just find out as to where in rishikesh will i get the bus from?	travel
Sir mere ko 2 ticket Kanpur to kota bus ticket chahiye	travel
Pls check the train status	travel
Actually i bought a lenovo phone month back but then I'm facing some problem with the sim network so then i went to a serrvice centre and they change the board and give it to me. Then again i have same issue so when i went to another service centre they told me that the phone emi number is not matching you have to talk to the customer care	support
Hey wake me up fro study maths at 5 clock	reminders
Check my train pnr status 2322192484	travel
What about 7pm show pink in pvr juhu	movies
Noi	shopping
Reminder set kardo	reminders
How to activate DND on my no.	reminders
Or anything in Indian dress straight fitting dresses	shopping
Cake order and deliver	food
Iphone airpode supported in iphone 6 or not	shopping
Now buses can travel from Tamil Nadu to banglore	travel
Book bpl to jaipur for 2s for 11 sept	travel
I didn't get the reminder today	reminders
I want to know the timing of shatabdi from new Delhi to Chandigarh on 06-10-2016 in morning	travel
Bedsheets*	shopping
any train to Lucknow	travel
Cancel all reminder	reminders
Uber	travel
Chennai to colombo on 25 Sep....check cheapest flight n 4 star hotel	travel
It's a defence booking	travel
i want to order from pakwan	food
Are they veg	food
Can you suggest me what should I buy ps4 pro or Xbox one S	shopping
Set reminder to buy cake today after 2 hours	reminders
Hello I want to buy wireless earbuds	shopping
Please check cheapest flight to Ranchi from Delhi between 2nd Nov and 4th Nov.	travel
What would be the price for 256gb jet black colour	shopping
Now i can order that shirt	shopping
Can I book a cab	travel
A.venkatrathnam chary  35 yrs male. 2Ac	travel
I want to buy a pen drive ,,,will u please order it online	shopping
Need to know beat Mexican food near to my residence	food
Surat to ahmedabad train today	travel
Please confirm for chair car without AC	travel
Can you book a table for me	food
I want a call reminder	reminders
Tirur to calicut train for tomorrow	travel
Asansol to Hyderabad by road	travel
Acitivate DND on my mobile plea	reminders
I want to buy red wine	shopping
stop giving remainder for water...i am habituated to it......	reminders
Moto	shopping
White teddy bear love u icon	shopping
Sunday meal offer	food
Ok then order pizza nd pepsi	food
Can u help me cancel my train ticket	travel
Jhelam  express  ki	travel
Y;ou aint woke me up	reminders
Fast food corner	food
I booked a ticket on 2 sep	travel
I want a 32gb pendrive	shopping
Kindly deactivate	reminders
Show me the details of iphone 7	shopping
How much time is left for the trains arrival at ahemdabad station ??	travel
Send iPhone 7 details	shopping
Need Manali and Shimla hotel booking and cab from Pathankot - Manali-shimla- delhi	travel
Telugu movies at this time	movies
I cant recall what was this reminder for	reminders
Reliance store, miyapur	nearby
Pls check resorts in hilly station	travel
Deals on ice creams	food
For package	travel
Give full specification of iPhone 7	shopping
Idbi bank	nearby
No software update at service centre?Is it available?	support
Pls stop these reminders	reminders
Reminder required on 22nd September 2016 as we have to attend a case can u schedule it for me	reminders
can u tell me the tatkal fair for doon express ....from howrah to dehradoon...	travel
Show corporation bank atm	nearby
Best places to see in singapore	travel
Chicken fried rice	food
Which movie is playing in balaji theatre ??	movies
not soon... i m travelling in 11 Nov 16 to 20 Nov  ... i want propmotion offer fare	travel
Near chandan cinema hall	movies
Bicycle tyre 700c x23	shopping
home made treatment for food poisoning	food
Could you check if the flight is on time	travel
Can you help in booking of tatkal train ticket ?	travel
I want ola cab coupon	travel
I want coupn for headphones on amazon	shopping
What is the starting price of iPhone 7 in India?	shopping
gujarati movie	movies
Bus route to kondapalli to Vijayawada	travel
Can you please find me a flight on 3rd Nov'16 from Delhi to Pune?	travel
I want a 2nd hand mobile	shopping
I will go with bus	travel
Can check train availability?	travel
I want to watch danger zone	movies
Coach number?	travel
Need Indian restaurant	food
Micromax	shopping
Samsung j2 2016 holsale price	shopping
Show Sport shoes plz	shopping
RAC 86?	travel
I need a petrol pump near me	nearby
Trains from ajmer to ahemadabad	travel
3 rd sept .. 10.15pm... sony...cid .. remind me to watch it	reminders
I want a laptop cooling pad within rs 400	shopping
Vijaya bank atm	nearby
please stop reminders	reminders
Please mension remainder name    .	reminders
Kalka train kb tk chlegi yamunanagar se	travel
Give me the train list from jaipur to alwar	travel
I need icici atm near my location	nearby
Wat type of movies u like	movies
It's okay. I got the Mrng bus in KSRTC Thku	travel
Distance between delhi and leh??	travel
Good Morning ! I need address and route of ICICI prudential office near Neelam Bata area in Faridabad.	nearby
Best mobile data plans for idea for 1 month validity and minimum data	recharge
Samsang j5 price please send....	shopping
Flight booking	travel
What is the price for ticket of del time royal cruise Goa?	travel
Wt abt booking lounge in ttd	food
What is the train no	travel
How you can book ticket	movies
Reliance jio sim	recharge
I want to repair laptop issues	support
Need to order a pizza	food
Which trains start from Bombay central	travel
Best 4g mobile within 6000 range	shopping
Hie i need a restaurant which is completely indian and very tasty also	food
i want a service for tata docomo can u help in a thing ?	recharge
What is price for socks	shopping
Men and electronic	shopping
Looking for a AC service	support
Yes...show me nokia	shopping
Can you look a train for me to goregaon	travel
Can you find train from bhopal to delhi for today itself	travel
Please stop all reminders	reminders
South Indian bank atm	nearby
Adidas shoes	shopping
Any movie hall of low ticket price u know	movies
Which is the best restaurant at bandra mumbai	food
Any lunch buffet near habsiguda hyd	food
Dodmane huduga tickets	movies
I want to know the bus from majestic to bannerghatta national park	travel
Cancel all wake up calls	reminders
Intercity Express	travel
Ymca function at 1130 am tomorrow 28092016	reminders
For men	shopping
Best deals	shopping
I want to book cab to . Tuljapur from	travel
Can u find me nearby Axis bank branches	nearby
i want to order chicken	food
its for round trip or one way	travel
I want food delivery for birthday party	food
What is the minimum price for the delivery in burger king ?	food
Show me the package of goa	travel
Find me a mens salon nearby	nearby
State bank near by my location	nearby
PVR milap Kandivali	movies
We are 8 people want to plan to go somewhere but in india for 4 to 5 days..can you suggest a nice place. We will like to go in nov	travel
Can I know if there is a flight to Raipur on 28th morning before 3am	travel
Need someone to repair the water dripping form ceiling	support
Nearby Honda service center	support
Water purifier	support
Ac sleeper	travel
Lebanese home made food	food
Flight	travel
How to reach mumbra by train from vasai?	travel
I have a tata sky My subs id is 1161857998, i mailed them regarding installation of my tata sky at my new address and my new no was updated to their personnel, i was also promised that personnel visit will be made on sunday, But no such personnel has contacted me, kindly do the needful,  contact them and fix an installation appointment	support
I want to purchase hand blender	shopping
Cancel reminders	reminders
What will be the charges to fix a water pipe from Geyser	support
Set a reminder for today 8am	reminders
SRS Muktsar movie	movies
Coaching centre	nearby
Remind me to carry my red converse shoes today at 12 noon.	reminders
Let me check train tickets for Jaipur for tomorrow evening	travel
samsung show room near me.	nearby
Need a dentist nearby	nearby
Loafer shoes	shopping
Can i get the list of puja special trains, depart from howra, sealdah?	travel
Can you provide me the flight details from Pune to Jaisalmer and Pune to Bhutan	travel
Howrah to gowhati trains	travel
Luve ststus of vananchal express	travel
I3/I5 processor, 4gb ram, 500/1000gb hard disk, graphic	shopping
Australia tour package	travel
Jeans model shirt in boy	shopping
Tempered glass for moto g4 plus	shopping
Cancel water reminder message and phone calls.	reminders
Yeah.. I wanna know about baar baar dekho movie tickets and show timings	movies
Pair of socks seriously??	shopping
Find me a cheap cloth dryer or hanger	shopping
OK I want a recharge in Vodafone 9587681695	recharge
I need to know flight prices from Singapore to Kuala Lumpur on the 9th morning. Flight charges sold include with baggage	travel
*Best Deal, Flipkart's Best Selling Lenovo Vibe K4 Note in Rs 249 only. Buy It Now Before Sale Ends. Cash On Delivery Also Available. Visit now* http://flipkart.online-sales.in	shopping
Mujhe kolkata airtel postpaid data ka plans bata sakte hain?	recharge
It ll charge by seat selection na...I saw in indigo only per seat 600rs extra for seat selection...	travel
Thanks but I unable to book my flight on armed concessions	travel
Is there any promo code for refund or cash back?	recharge
Looking for bus from Surat to Mumbai after 11:00 am	travel
Find me tickets for majnu in near by theatres ..and there is no favorite theatre for me..need tickets for today	movies
Can u find the nearest syndicate bank	nearby
I want to know nearby reliance store at raanchhodnagar	nearby
Shut down the alarms please	reminders
Send me pictures of this socks	shopping
Start DND	reminders
What is the update of my PNR status?	travel
Send me the menu card of sauteed stories	food
Any gym nearby??	nearby
Remind me to download how to get away with murder at 7 pm	reminders
Any adhar hotels in 4 star manali in my Budget	travel
Everyday reminder	reminders
I want to buy usb 3.0 pendrive below 500	shopping
Remind me at 10.30 pm today to take keys from Ishaan Kataria	reminders
Where is crossword nearby?	nearby
What is the cost of 2 pairs of socks to get 1 free pair of socks?	shopping
Remainder to send mail to college at 11:00 am today only	reminders
Get me ticket for tiger(punjabi)	movies
Taxi for kanpur to lucknow	travel
Hi akash...I hv received the order...but I would like u to please put in their notice that 5wings box was order n the box has only 3	food
Is Domino's pizza online order available?	food
Hey, can you reserve a table for me?{banner}	food
We have booked two types of tickets one is from khanna to nanded and 2 nd is return ticket. Could you pls provide the status for both???	travel
53629 train statuss please	travel
Hi i wanna buy infocus mobile phone	shopping
How to go from Raichur to coorg ?	travel
Plz schedule - Interview call on Saturday morning at mahalaxmi	reminders
Remind me for customer demand planning meeting on 28th sep 2016 @ 8:45 am	reminders
Bey remove my reminders	reminders
Train tickets to Mangalore on Oct 9	travel
Gear Fit2	shopping
Uber offers	travel
Planning to visit kurg karnatka from Bangalore	travel
Where is the nearby vodaphone store?	nearby
Seat number ??	travel
Hubli to dharwad	travel
Hi, can you help with hotel bookings at adlab imagica	travel
My papa is a travel agent	travel
Call me after 5 min	reminders
Hi want to purchase wheel chairs for office pls show some picture	shopping
I need to know what r the trains that are available to travel from Delhi to tadepalligudem and their travel time	travel
Cancel this order	food
Review for banjo	movies
Flight for 4 to amritsar. Depart Oct 14, return Oct 16	travel
Can u give pkg tour kanyakumaia & cochin from Mumbai with airfare from 7th Oct to 13th Oct for 2	travel
Timing of cinemas at city mall	movies
stop reminder for water	reminders
I want 2 seat today sl class bidar	travel
Tickets for 22 Oct	travel
Last order ki delivery nai mili	food
Book the bus please	travel
Deala for Matrix hair serum or streax hair serum ?	shopping
Movies that will be running during october 6	movies
Utchathula siva	support
Hyderabad  best cab	travel
Finger print scencer phone	shopping
Could u get me the running status of train number 22640	travel
What discount u offer on movies	movies
How long is yeshwantpur Railway Station from Koramangala depot?	travel
kid shoes	shopping
Ny offer for domino's	food
Trip	travel
Marathi movie photo copy timings at hinjewadi espuare	movies
*best mall	movies
Whole day	reminders
Review of pink	shopping
Hi punnet I am going to 8th October this site availability 12864 train no Tirupati to howrah	travel
Trains for today anand to bharuch	travel
Light blue bro	shopping
"How track an order frm ""StreetStyleStore""?!"	food
Tickets for isl 2016? The soccer league ?	movies
Can you please find out what is the self recharge code for T24 monthly SMS pack	recharge
Where is this IDBI bank in Kukatpally	nearby
Do you have any men's casual shoes	shopping
Please stop the 1.49 am reminder	reminders
Stop reminder today	reminders
Ay i know flight ticket dellhi to gorakhpur	travel
Book train ticket	travel
I want in new pattern these r look like formal jeanses.	shopping
killer jeans store near cg road	shopping
Running train status of saktipunj express	travel
I Mena I'll forget what the reminder is about	reminders
How far is the nearest Taj hotel?	travel
Vadodara???	travel
K I need timings of jet airways	travel
Seat States	travel
Looking for BOI atm	nearby
Hi I need contact number of apple service centre gwalior	support
Hi please help me find trains from mumbai to Nanded on 21st September , sleeper non ac coach ?	travel
Is any exchange offer for sony TV	shopping
Any bus from jammu to chandigarh	travel
Plz chek is there any seat available from kld to bnz in intercity tomorrow	travel
Shradha  a small doubt  I know they are bharathnatyam  saree's but even we can wear that  saree's  like a normal saree's or not	shopping
Any ATM nearby	nearby
Send me details regarding Dubai up and down air fare for 13th Oct 2016 from Chennai	travel
I booked tickets of today's rahul shiwaji nagar s one way ticket movie I want to cancel booking	travel
anand vihar terminal to moradabad train schedule today	travel
French fries	food
On Sunday night, I need to travel from shridi to manmad	travel
Chennai EGMORE to ariyalur train	travel
Nearest reliance store at Belgharia	nearby
give me the price of Philips color tv led 32 inches	shopping
Need a  month validity plan of vodafone haryana 3G for 9671443257	recharge
Can u get me offers for samsung galaxy a7	shopping
Kidari tamil film	movies
Axis atm	nearby
Ahmedabad to Jamnagar	travel
I just want to buy lappi	shopping
Frequency of Reminders:  1 hour	reminders
Hi need lowest fare for Kolkata - Delhi on 15oct	travel
food	food
Suggest me good bakery for bday cake	food
Both call an notification????	reminders
Any plan for a year	recharge
I will get back to you once the travel dates are finalised.	travel
Federal bank atm	nearby
Abi raamdrvra to bikaner ki koi train batao	travel
Ok from madurai to Bombay is cheaper price is flight r train	travel
Which theatres feature this movie in Chennai?	movies
You can stop the reminders now. My work is done	reminders
Othere phones	shopping
How can we convert my airtel prepaid sim to postpaid	recharge
Can you tell me the restaurant to have panjabi food in alibaug?	food
Need to do web check in	travel
I want to repair my laptops	support
I want to know the train timings from bangalore to mysore	travel
coach status plz	travel
Can you assure confirm tatkal railway ticket	travel
Hello have you checked  my product delivery confirmation on Snapdeal so then to return it back whenever its done let me know ...	shopping
I need a phone cover. .iphone 6 plus..	shopping
Bus stop arrived	nearby
i wanna eat vada pav	food
Hi plz find me bus frm Delhi to jaipur right now it's urgent	travel
What is the status of pragati express???	travel
Can you send contact of OLA cab	travel
I just need tops as if now	shopping
Validity??	recharge
Please remind to ask mom on Monday morning at 8 AM	reminders
Can u please find out how much I would get back if I cancelled the flights	travel
Oly socks?	shopping
Shoe	shopping
Other top hotels with pay at hotel option in Alkapuri	travel
Are there any direct flights between pune to mumbai??	travel
Woodland shoes	shopping
Plz find some good restaurant	food
Coolpad note 3 lite support's VR ?	shopping
cancel my reminder	reminders
How for 2 pair socks	shopping
I want flight	travel
Book 11025    1 ticket sleeper coach	movies
You have to remind me every time	reminders
Tell me cheapest flight form indore yo dubai in month of December	travel
With chesse burst	food
Please book service with urban clap	support
Can you please tell me where can I buy crystal perfume bottles. As in only empty bottles, without perfume.	shopping
Pair of black lether formal shoes	shopping
anniversary cake	shopping
Yes I would like to travel from Auranagabad to Mumbai	travel
Hi can you please release this reminder as the purpose for which reminder was set is now done	reminders
Hi there! I'm looking to buy some new shoes	shopping
Hey what's the price of iPhone 7	shopping
I need an electrician in my home	support
Find best restaurant in gomtinagar Lucknow that should pe pure vegiterian	food
Kerbstone do they have hookah parlour?	food
Hdfc bank	nearby
Pls arrange to wake me at 5.30 in  morning thanks	reminders
I have to buy Xiaomi Redmi 3s prime tomorrow on sale. Can you purchase it for me	shopping
Train no 17487 running status	travel
Vatz z d current of Iphone 7	shopping
I suppose to travel from Bangalore to kodaikanal and then to palani and pollachi back to Bangalore.	travel
I need confirm ticket puneeth	travel
Are there any pizza offer s	food
Rwmind me at 11 am today to pay phone bill	reminders
Get me the best deal for mamypoko pant xl in larger quantity pack	shopping
Need ICICI deposit machine	nearby
Plz dont call me	reminders
Three tkts for 2:45	movies
Do I have to show the snap shot in the cinema?	movies
Remind me a day ago that I have my office shift on 30th September	reminders
Hey I want to book a mini bus from Baroda to anklewar	travel
I want a cab from my location to punade	travel
How to go to egmore	travel
Cafe bites Faridkot	food
What wil be the cheapest rate for tomorrow flight gingto delhi from Calcutta	travel
Actually i want the reminder for every sunday	reminders
Please remind me to finish the Teamwork article	reminders
I want to port my Airtel number to jio	recharge
Moto 4G plus 4th gen 32GB is costing me 15000/- on Flipkart. What best deal can I get from Haptik?	shopping
Okie i am planning got Dsseldorf on 18th October to 23 October	travel
Find me the bus no. To travel goregaon  oshiwara depot west to andheri west stn	travel
I want screen guard for Lenovo k3 note mobilr	shopping
Flight to phuket n flight to Bangkok n car travel to pattaya ...all that is extra	travel
Trimmers	shopping
I want to have black pav bhaji where can I get it	food
May I know which all movies are there in DRC	movies
Please don't send reminder	reminders
Bina button ka T-shirt mila ki nhi	shopping
Heyi i need to buy a headphone online	shopping
I want to buy a bike .  with zero down payment using emi schemes..	shopping
Hiii mam good morning. I want an infirmation regarding seat availability of sanghamitra train.    From nellore to bangalore. On nov 4 th in 3rd ac. 2nd ac or first ac	travel
Special request..  Please make sure i do wake up :)	reminders
What movies r available	movies
I want to go ninnononia	travel
Nike or puma chappals	shopping
Is all are near railway station of pune	travel
Chart prepared?	travel
hi tel me train timings from cochin to varkala for today	travel
my seats are confirmed?	travel
Mam I want to book for return ticket also	travel
Is my flight on time	travel
I want to travel from	travel
I want to buy Robbin's basic pathology book 9th edition	shopping
Opa cafe and bar	food
When what will bi the timing of train kathgodam express	travel
No continuesly u call..after wakingup i ll cut the call	reminders
Off reminder	reminders
J7 price	shopping
You can cancel all my reminder for now	reminders
Do you have the rosemary bag in red colour?	shopping
Looking fur something heavy bass and clarity	shopping
Coupon code for bsnl prepaid recharge	recharge
I want connect wide paint zoom electric portable	support
Hey, what are some deals on food delivery around me?	food
I need branded flip-flops....size 10	shopping
What is cost of apple earpods	shopping
redmi 3s	shopping
Book me a cab	travel
Asus authorized service center for laptop	support
Nandigram express date 02/11/16	travel
Wants a white casual shoe.. size 10!!	shopping
Surat to Bangalore via Mumbai	travel
